question,category,options,answer,explanation
重量5kgの機体が時速36kmで飛行している。秒速(m/s)に直すといくらか。,物理,a.5m/s|b.10m/s|c.15m/s,b,時速(km/h)を3.6で割ると秒速になります（36÷3.6＝10）。
ホバリングに必要な「消費パワー(P)」と「回転角速度(ω)」の関係はどれか。,物理,a.Pはωに比例する|b.Pはωの2乗に比例する|c.Pはωの3乗に比例する,c,消費パワーは回転数の3乗に比例して急増します。
重量が2倍になった場合、ホバリングに必要な回転数は約何倍になるか。,物理,a.1.41倍|b.2倍|c.2.8倍,a,回転数は重量（推力）の平方根（√2）に比例するため約1.41倍です。
バンク角60度で定常旋回中の機体にかかる「荷重倍数(G)」はいくつか。,物理,a.1.41G|b.2G|c.4G,b,1/cos(60度) = 1/0.5 = 2G の負荷がかかります。
高度100mから滑空を始めた飛行機の揚抗比が15の場合、水平滑空距離はいくらか。,物理,a.150m|b.1500m|c.3000m,b,高度×揚抗比（100×15＝1500m）となります。
重量が4倍になった飛行機が同じ姿勢で飛ぶために必要な速度は何倍か。,物理,a.2倍|b.4倍|c.16倍,a,必要な速度は重量の平方根（√4）に比例するため2倍です。
2.4GHz帯の電波の波長(λ)として正しい数値はどれか。,システム,a.約12.5cm|b.約5.7cm|c.約2.4cm,a,光速(3.0×10^8)÷周波数(2.4×10^9)＝0.125mです。
高度50mから水平速度10m/sで墜落した場合、地面に着くまでの時間は（g=9.8）。,物理,a.約2.2秒|b.約3.2秒|c.約5.1秒,b,t = √(2h/g) = √(100/9.8) ≒ √10.2 ≒ 3.2秒です。
無線LAN等と混信しやすいが、障害物の回り込み（回折）に強い周波数はどれか。,システム,a.2.4GHz|b.5.7GHz|c.73MHz,a,周波数が低いほど、障害物を回り込みやすい性質があります。
リチウムポリマーバッテリーの「1セル」あたりの公称電圧はいくらか。,システム,a.1.2V|b.3.7V|c.4.2V,b,公称3.7V、満充電4.2Vです。
「Cレート」が20C、容量2000mAhのバッテリーが流せる最大電流はいくらか。,システム,a.4A|b.40A|c.400A,b,容量(2A)×20倍 = 40A となります。
アンテナ間に障害物がなくても、空間の「何%」が確保されないと通信が弱まるか。,システム,a.20%|b.60%|c.100%,b,フレネルゾーンの半径60%以内に障害物がないことが通信安定の条件です。
「ボルテックス・リング・ステート」から離脱するための最も適切な操作はどれか。,運航,a.フルスロットルで上昇|b.水平移動（前進等）を行い気流から出る|c.そのまま着陸,b,自らのダウンウォッシュから逃れるために水平に動きます。
「地面効果」により揚力が増大するのは、高度がプロペラ直径のどの程度以下の時か。,システム,a.約1倍以下|b.約5倍以下|c.常に発生する,a,プロペラ直径と同程度の低高度で地面効果が顕著になります。
積乱雲から吹き出す強い下降気流「ダウンバースト」の風速は最大どの程度か。,気象,a.5m/s|b.15m/s|c.30m/s以上,c,ダウンバーストは猛烈な風（30m/s超）を伴うことがあり非常に危険です。
「海陸風」において、日中に吹くのはどの風か。,気象,a.海風（海から陸へ）|b.陸風（陸から海へ）|c.上昇気流のみ,a,日中は陸が温まり低気圧になるため、海から風が吹き込みます。
気圧センサが高度維持のために検知しているのは何か。,システム,a.静圧|b.動圧|c.全圧,a,周囲の空気の重さ（静圧）の変化を高度に変換しています。
5.7GHz帯の無線局免許状の「有効期間」は何年か。,規則,a.1年|b.3年|c.5年,c,無線局（アマチュア・産業用ともに）の有効期間は5年です。
「IMU」を構成する主なセンサの組み合わせはどれか。,システム,a.GPSと気圧計|b.ジャイロと加速度計|c.コンパスとカメラ,b,IMUは角速度（ジャイロ）と加速度を検知します。
飛行機が「ピッチ（機首上げ・下げ）」を行うために動かす舵はどれか。,システム,a.エルロン|b.エレベーター|c.ラダー,b,水平尾翼にあるエレベーターがピッチを制御します。
マルチローターのプロペラが「4枚（クアッド）」の場合の回転方向はどれか。,システム,a.全て同じ|b.右2枚、左2枚で逆回り|c.対角線上で同じ（CW2枚、CCW2枚）,c,対角の2枚ずつが逆回転することで反トルクを相殺します。
ブラシレスモーターとブラシモーターの違いとして正しいものはどれか。,システム,a.ブラシレスの方が寿命が長い|b.ブラシレスの方が重い|c.ブラシレスは直流で動く,a,接触部がないため摩耗がなく、高効率で長寿命です。
バッテリー2本を「直列」に接続した場合、どうなるか。,システム,a.容量が2倍、電圧は不変|b.電圧が2倍、容量は不変|c.両方2倍,b,直列は電圧(V)が足し算され、並列は容量(Ah)が足し算されます。
気象予報で使われる「風速」は、何分間の平均値か。,気象,a.1分間|b.10分間|c.60分間,b,10分間の平均値です。瞬間的な風は「最大瞬間風速」です。
寒冷前線が通過した直後の気温の変化はどうなるか。,気象,a.上昇する|b.急激に低下する|c.変化しない,b,寒気団が暖気を押し上げるため、通過後は気温が下がります。
電波の「回折」とはどのような性質か。,システム,a.物体を通り抜ける|b.物体の影に回り込む|c.物体で跳ね返る,b,障害物の裏側に回り込む性質を回折と呼びます。
バッテリーを「過放電」させた場合、どうなるおそれがあるか。,システム,a.容量が増える|b.二度と充電できなくなる|c.冷たくなる,b,内部の化学構造が破壊され、再使用不可（故障）となります。
ドローンのプロペラが高速回転して姿勢を安定させる現象を何と呼ぶか。,システム,a.ジャイロ効果|b.マグヌス効果|c.地面効果,a,回転体が軸を一定に保とうとする性質です。
「高度維持」を行っているドローンが、急に下降し始めた。原因として考えられるのは？,リスク,a.低気圧の接近（気圧低下）|b.高気圧の接近|c.無風状態,a,外気が低気圧になると、センサが「上昇した」と誤認し、高度を下げる補正をかけます。
送信機(2.4GHz)とスマホ(Wi-Fi 2.4GHz)を近づけて使用する際のリスクはどれか。,システム,a.バッテリーが減る|b.通信の遅延や混信|c.機体が重くなる,b,同じ周波数帯を使用するため、電波干渉が起きます。
地磁気センサの異常を知らせる警告が出た。どこから離れるべきか。,運航,a.コンクリートの構造物や鉄柵|b.木|c.水辺,a,鉄材は磁場を乱すためコンパスエラーの原因になります。
